model,objective,fn_fp_cost_ratio,threshold,threshold_a,threshold_b,TP,FN,FP,TN,recall,precision,f1,accuracy,weighted_cost,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,accuracy_mean,accuracy_std,pr_auc_mean,pr_auc_std
Model A,f1,4.0,0.607530339087342,0.607530339087342,0.599386990070343,1816,4703,1820,145698,0.27857033287314004,0.49944994499449946,0.35765632693254557,0.9576530314145303,20632.0,0.2871203990295186,0.04341389936354036,0.6216789785491542,0.22200372813316205,0.3691253331790513,0.06714517231857905,0.9576966999815865,0.013456994578948056,0.35805067888899794,0.06289628116865978
Model B (cnn),f1,4.0,0.599386990070343,0.607530339087342,0.599386990070343,2352,4167,237,147281,0.36079153244362633,0.9084588644264194,0.5164690382081687,0.9714094665567363,16905.0,0.3612914229249101,0.010413131788031197,0.9148254944420952,0.08120373839622556,0.516495763172794,0.007504695306576504,0.971404070497079,0.007491966636599798,0.5071948660172327,0.018858501654102414
Model B (zonal),f1,4.0,0.5887008468304626,0.607530339087342,0.599386990070343,2035,4484,2932,144586,0.312164442399141,0.4097040467082746,0.35434441929305244,0.9518557229756487,20868.0,0.3210477659027803,0.046763397008448414,0.468996423491382,0.1657398979610808,0.3606067698837613,0.05598910187321704,0.9518986132338508,0.012279862982187034,0.3608691010798727,0.06368030222636621
Model B (global),f1,4.0,0.6323137679120828,0.607530339087342,0.599386990070343,1995,4524,3542,143976,0.30602853198343305,0.36030341340075855,0.3309555408095554,0.9476359575946038,21638.0,0.31393046180263073,0.04242555227095101,0.39575814039531493,0.13112007638471862,0.3338116066305213,0.046589165346332395,0.9476713172850545,0.01041879127703164,0.3329445419801629,0.0522267109325513
Ensemble (average),f1,4.0,0.5969400161666365,0.607530339087342,0.599386990070343,2326,4193,177,147341,0.35680319067341615,0.9292848581701958,0.5156284637552649,0.9716301927458987,16949.0,0.3582171580847784,0.009918610663525241,0.932073763313447,0.07598329934320865,0.5163637797081145,0.010288464789035627,0.9716245315082386,0.007479154268622383,0.48905266271037817,0.020330739667775054
Ensemble (union),f1,4.0,,0.607530339087342,0.599386990070343,2443,4076,2012,145506,0.3747507286393619,0.5483726150392817,0.4452341899034081,0.9604770282464603,18316.0,0.37733743461837843,0.011574632003693247,0.6454040262644112,0.21618563232012003,0.4561543754284488,0.08120083383750737,0.9605275266051688,0.01414884079803153,,
Model A,cost_weighted,4.0,0.6148010142001261,0.6148010142001261,0.4772165417671203,1759,4760,1583,145935,0.26982666053075627,0.5263315380011969,0.3567589493966129,0.9588215818277427,20623.0,0.27812192888142684,0.04437718595198083,0.6534595496550273,0.2304054488405914,0.3670583503715448,0.06599185888173413,0.9588602835406437,0.012585417328861651,0.35805067888899794,0.06289628116865978
Model B (cnn),cost_weighted,4.0,0.4772165417671203,0.6148010142001261,0.4772165417671203,2596,3923,1166,146352,0.3982205859794447,0.6900584795321637,0.5050092403462698,0.9669624830397892,16858.0,0.4013164205860204,0.0182151012741891,0.7033585155923862,0.11957227989350508,0.5055447386664945,0.03187963902770952,0.9669692248543746,0.007518816847308909,0.5071948660172327,0.018858501654102414
Model B (zonal),cost_weighted,4.0,0.6052031179489289,0.6148010142001261,0.4772165417671203,1849,4670,2124,145394,0.2836324589660991,0.4653913918952932,0.3524590163934426,0.9558937138479716,20804.0,0.29185385668643365,0.04523412325425132,0.5325080332331862,0.17633929947153837,0.35832603177275646,0.0553157370377401,0.9559269351907073,0.010945875189215696,0.3608691010798727,0.06368030222636621
Model B (global),cost_weighted,4.0,0.6457107020661623,0.6148010142001261,0.4772165417671203,1839,4680,2778,144740,0.28209848136217214,0.3983105912930474,0.3302801724137931,0.9515830612125659,21498.0,0.28925205220476663,0.03880138004056723,0.4403397596963007,0.14160354309742287,0.3334177046331558,0.044983839428447144,0.9516135033988002,0.0100648134391629,0.3329445419801629,0.0522267109325513
Ensemble (average),cost_weighted,4.0,0.5381779007565269,0.6148010142001261,0.4772165417671203,2415,4104,450,147068,0.3704555913483663,0.8429319371727748,0.5147058823529411,0.970435674545726,16866.0,0.3729415629919365,0.012749797443187785,0.8534795298696171,0.12086909819744787,0.5155127622289862,0.021540639282313666,0.9704361568261376,0.0073172983002169215,0.48905266271037817,0.020330739667775054
Ensemble (union),cost_weighted,4.0,,0.6148010142001261,0.4772165417671203,2646,3873,2649,144869,0.4058904739990796,0.49971671388101985,0.44794311833417977,0.9576595233612704,18141.0,0.4102627477188728,0.019117693058048647,0.574457283717233,0.18388754001090954,0.45993571815619977,0.0824710954827262,0.9577154035769674,0.015374727409417538,,
Model A,f1,8.0,0.607530339087342,0.607530339087342,0.599386990070343,1816,4703,1820,145698,0.27857033287314004,0.49944994499449946,0.35765632693254557,0.9576530314145303,39444.0,0.2871203990295186,0.04341389936354036,0.6216789785491542,0.22200372813316205,0.3691253331790513,0.06714517231857905,0.9576966999815865,0.013456994578948056,0.35805067888899794,0.06289628116865978
Model B (cnn),f1,8.0,0.599386990070343,0.607530339087342,0.599386990070343,2352,4167,237,147281,0.36079153244362633,0.9084588644264194,0.5164690382081687,0.9714094665567363,33573.0,0.3612914229249101,0.010413131788031197,0.9148254944420952,0.08120373839622556,0.516495763172794,0.007504695306576504,0.971404070497079,0.007491966636599798,0.5071948660172327,0.018858501654102414
Model B (zonal),f1,8.0,0.5887008468304626,0.607530339087342,0.599386990070343,2035,4484,2932,144586,0.312164442399141,0.4097040467082746,0.35434441929305244,0.9518557229756487,38804.0,0.3210477659027803,0.046763397008448414,0.468996423491382,0.1657398979610808,0.3606067698837613,0.05598910187321704,0.9518986132338508,0.012279862982187034,0.3608691010798727,0.06368030222636621
Model B (global),f1,8.0,0.6323137679120828,0.607530339087342,0.599386990070343,1995,4524,3542,143976,0.30602853198343305,0.36030341340075855,0.3309555408095554,0.9476359575946038,39734.0,0.31393046180263073,0.04242555227095101,0.39575814039531493,0.13112007638471862,0.3338116066305213,0.046589165346332395,0.9476713172850545,0.01041879127703164,0.3329445419801629,0.0522267109325513
Ensemble (average),f1,8.0,0.5969400161666365,0.607530339087342,0.599386990070343,2326,4193,177,147341,0.35680319067341615,0.9292848581701958,0.5156284637552649,0.9716301927458987,33721.0,0.3582171580847784,0.009918610663525241,0.932073763313447,0.07598329934320865,0.5163637797081145,0.010288464789035627,0.9716245315082386,0.007479154268622383,0.48905266271037817,0.020330739667775054
Ensemble (union),f1,8.0,,0.607530339087342,0.599386990070343,2443,4076,2012,145506,0.3747507286393619,0.5483726150392817,0.4452341899034081,0.9604770282464603,34620.0,0.37733743461837843,0.011574632003693247,0.6454040262644112,0.21618563232012003,0.4561543754284488,0.08120083383750737,0.9605275266051688,0.01414884079803153,,
Model A,cost_weighted,8.0,0.5690903332956938,0.5690903332956938,0.451177567243576,2134,4385,3627,143891,0.32735082067801813,0.37042180177052597,0.34755700325732897,0.9479865227185676,38707.0,0.3374526630190705,0.044919137686470746,0.4577299132297015,0.1815709683220598,0.3614510217101129,0.06943335712063628,0.9480562516407958,0.01833706258101603,0.35805067888899794,0.06289628116865978
Model B (cnn),cost_weighted,8.0,0.451177567243576,0.5690903332956938,0.451177567243576,2733,3786,2149,145369,0.41923607915324435,0.5598115526423597,0.47943162880449086,0.9614702960976909,32437.0,0.4246596785994428,0.023972998728191287,0.5651293085535609,0.12132197657659219,0.4766685422762684,0.030565378421111303,0.9614690319488242,0.004978640376677289,0.5071948660172327,0.018858501654102414
Model B (zonal),cost_weighted,8.0,0.5584428552324611,0.5690903332956938,0.451177567243576,2435,4084,5014,142504,0.3735235465562203,0.32688951537119076,0.3486540664375716,0.9409362685588527,37686.0,0.38461679004846105,0.05235891724751082,0.37096413240118936,0.13934205111366255,0.3557842414369633,0.05864418661200762,0.9409973614106374,0.015654317684054172,0.3608691010798727,0.06368030222636621
Model B (global),cost_weighted,8.0,0.5752217877067469,0.5690903332956938,0.451177567243576,2699,3820,8109,139409,0.4140205552998926,0.24972242783123613,0.31153690771628095,0.9225575673377175,38669.0,0.42439179014552797,0.05660500183965493,0.26619086096070055,0.08569111863545041,0.3139659466275611,0.05172136975990874,0.9226124280002219,0.01392423052344247,0.3329445419801629,0.0522267109325513
Ensemble (average),cost_weighted,8.0,0.47405180908405253,0.5690903332956938,0.451177567243576,2614,3905,1541,145977,0.4009817456665133,0.629121540312876,0.48978827056398727,0.9646448580535846,32781.0,0.4062430666764394,0.02294067189496582,0.6557905127436048,0.1649168085065989,0.49044175482292385,0.04790017021928847,0.9646616661849194,0.0071990564310817524,0.48905266271037817,0.020330739667775054
Ensemble (union),cost_weighted,8.0,,0.5690903332956938,0.451177567243576,2857,3662,5495,142023,0.4382574014419389,0.34207375478927204,0.3842377782260776,0.9405532437011886,34791.0,0.44589026312217317,0.03175316190214868,0.3931899102930304,0.1551685275564672,0.39552400522175013,0.0837382045951001,0.9406293797294285,0.019569115179980143,,
Model A,f1,12.0,0.607530339087342,0.607530339087342,0.599386990070343,1816,4703,1820,145698,0.27857033287314004,0.49944994499449946,0.35765632693254557,0.9576530314145303,58256.0,0.2871203990295186,0.04341389936354036,0.6216789785491542,0.22200372813316205,0.3691253331790513,0.06714517231857905,0.9576966999815865,0.013456994578948056,0.35805067888899794,0.06289628116865978
Model B (cnn),f1,12.0,0.599386990070343,0.607530339087342,0.599386990070343,2352,4167,237,147281,0.36079153244362633,0.9084588644264194,0.5164690382081687,0.9714094665567363,50241.0,0.3612914229249101,0.010413131788031197,0.9148254944420952,0.08120373839622556,0.516495763172794,0.007504695306576504,0.971404070497079,0.007491966636599798,0.5071948660172327,0.018858501654102414
Model B (zonal),f1,12.0,0.5887008468304626,0.607530339087342,0.599386990070343,2035,4484,2932,144586,0.312164442399141,0.4097040467082746,0.35434441929305244,0.9518557229756487,56740.0,0.3210477659027803,0.046763397008448414,0.468996423491382,0.1657398979610808,0.3606067698837613,0.05598910187321704,0.9518986132338508,0.012279862982187034,0.3608691010798727,0.06368030222636621
Model B (global),f1,12.0,0.6323137679120828,0.607530339087342,0.599386990070343,1995,4524,3542,143976,0.30602853198343305,0.36030341340075855,0.3309555408095554,0.9476359575946038,57830.0,0.31393046180263073,0.04242555227095101,0.39575814039531493,0.13112007638471862,0.3338116066305213,0.046589165346332395,0.9476713172850545,0.01041879127703164,0.3329445419801629,0.0522267109325513
Ensemble (average),f1,12.0,0.5969400161666365,0.607530339087342,0.599386990070343,2326,4193,177,147341,0.35680319067341615,0.9292848581701958,0.5156284637552649,0.9716301927458987,50493.0,0.3582171580847784,0.009918610663525241,0.932073763313447,0.07598329934320865,0.5163637797081145,0.010288464789035627,0.9716245315082386,0.007479154268622383,0.48905266271037817,0.020330739667775054
